,STATION,LAT,LON,FF,Pickup_Count,Dropoff_count,Ratio Pickup/FF,Pickup div Drop_off
2,75TH STREET & ELDERTS LANE,40.691321,-73.8672547,8878,1,5,0.000112638,0.2
109,77TH STREET-4TH AVENUE,40.6294337,-74.0255833,14258,,2,0,0
89,79TH STREET-BROADWAY,40.7840729,-73.980242,39961,90,71,0.002252196,1.267605634
139,7TH AVENUE-9TH STREET,40.6669775,-73.9816502,28471,1,15,3.51235E-05,0.066666667
58,82ND STREET-JACKSON HEIGHTS,40.7670326,-73.8876976,35623,181,72,0.005080987,2.513888889
96,86TH ST-CENTRAL PARK WEST,40.7855371,-73.9696427,22120,277,322,0.012522604,0.860248447
110,86TH STREET-4TH AVENUE,40.6229728,-74.0282305,21357,,3,0,0
90,86TH STREET-BROADWAY,40.7883915,-73.9769395,45478,100,107,0.002198865,0.934579439
72,90TH STREET/ELMHURST AVENUE,40.7484278,-73.8767956,41436,2,9,4.82672E-05,0.222222222
91,96TH STREET-BROADWAY,40.7945406,-73.9719092,84078,241,284,0.002866386,0.848591549
207,AIRTRAIN @ HOWARD BEACH,40.662031,-73.8263643,15663,18,16,0.001149205,1.125
196,ALABAMA AVENUE-FULTON ST,40.6768986,-73.8992908,3259,1,,0.000306843,#DIV/0!
167,ALLERTON AV-WHITE PLAINS RD,40.8647509,-73.8674619,13417,,1,0,0
192,AVENUE I-MCDONALD AVENUE,40.647694,-73.9803639,5089,2,5,0.000393005,0.4
193,AVENUE P-MCDONALD AVENUE,40.6088388,-73.9729855,7527,,1,0,0
194,AVENUE U-MCDONALD AVENUE,40.596017,-73.9733635,5130,,3,0,0
133,AVENUE X-MCDONALD AVENUE,40.5901547,-73.9741859,6875,,1,0,0
37,BARCLAYS CENTER,40.6826129,-73.97511066,108006,10,7,9.25874E-05,1.428571429
183,BAY 50TH STREET-STILLWELL,40.5886755,-73.9837274,5581,1,1,0.000179179,1
173,BAY PARKWAY-86TH STREET,40.6019098,-73.9938063,14563,,4,0,0
111,BAY RIDGE - 95TH STREET,40.6161881,-74.0310127,15668,,2,0,0
108,BAY RIDGE AVE-4TH AVENUE,40.6346594,-74.0234751,18372,1,8,5.44307E-05,0.125
38,BERGEN STREET,40.6824707,-73.9795606,8636,11,12,0.001273738,0.916666667
25,BOWLING GREEN & BROADWAY,40.70496825,-74.01365751,12860,21,33,0.00163297,0.636363636
145,BROADWAY - UNION AVENUE,40.7056438,-73.950212,7018,,2,0,0
57,BROADWAY & 31ST STREET,40.7619533,-73.9253765,27807,33,94,0.001186752,0.35106383
64,BROADWAY-EAST NEW YORK,40.7692188,-73.9818193,18910,143,135,0.007562136,1.059259259
181,BRONX PARK EAST,40.852088,-73.8686089,6336,,3,0,0
26,BROOKLYN BRIDGE,40.7010428,-73.9903533,90520,2,3,2.20946E-05,0.666666667
168,BURKE AVE-WHITE PLAINS ROAD,40.8706932,-73.867271,9397,,1,0,0
123,BURNSIDE AVE-JEROME AVE,40.8534329,-73.9077223,23812,,6,0,0
152,BUSHWICK AVENUE-ABERDEEN ST,40.6827996,-73.9052062,2707,,,0,#DIV/0!
69,CANAL STREET,40.724222,-74.0086439,22247,41,56,0.001842945,0.732142857
206,CANAL STREET-BROADWAY,40.7195085,-74.0016067,31995,96,91,0.003000469,1.054945055
114,CARROLL ST-PRESIDENT ST,40.6810586,-73.9944893,28268,24,44,0.000849017,0.545454545
184,CENTRAL AVE-MYRTLE AVE,40.6978875,-73.9274247,6496,3,10,0.000461823,0.3
16,CHAMBERS STREET,40.71552,-74.0092389,58704,92,96,0.001567185,0.958333333
97,CHRISTOPHER ST-SHERIDAN SQ,40.7335943,-74.0027844,28893,194,178,0.006714429,1.08988764
59,CHURCH AVENUE,40.6494014,-73.9631665,35133,1,3,2.84633E-05,0.333333333
53,CITY HALL,40.7127391,-74.00595118,9073,26,39,0.002865645,0.666666667
116,CLARK STREET-HENRY STREET,40.6974653,-73.9930222,14287,17,21,0.001189893,0.80952381
197,CLEVELAND STREET-FULTON ST,40.6796142,-73.8857367,9042,,,0,#DIV/0!
54,CORTLANDT STREET,40.709806,-74.0099879,10364,32,36,0.003087611,0.888888889
160,COURT SQ,40.7465249,-73.9430474,8991,11,26,0.001223446,0.423076923
199,CRESCENT STREET-FULTON ST,40.6833496,-73.873286,12126,,1,0,0
1,CYPRESS HILLS,40.6770477,-73.8912474,3682,,,0,#DIV/0!
60,DEKALB AVENUE,40.6899292,-73.9815403,34776,7,12,0.000201288,0.583333333
120,DEKALB AVE-WYCKOFF AVE,40.704312,-73.9192304,24848,,6,0,0
191,DITMAS AVE-MCDONALD AVE,40.6363063,-73.9781943,12166,,1,0,0
20,DYCKMAN STREET,40.8593649,-73.9233135,14743,,4,0,0
95,DYCKMAN STREET-BROADWAY,40.8653722,-73.9277222,14946,1,8,6.69075E-05,0.125
203,EAST 149TH ST-SOUTHERN BLVD,40.8119971,-73.9041966,9494,1,1,0.00010533,1
