,STATION,LAT,LON,FF
69,57TH STREET & 7TH AVENUE      ,40.7655092,-73.9800305,73592
73,59TH STREET/COLUMBUS CIRCLE   ,40.7679985,-73.981908,196439
76,CITY HALL                     ,40.7127391,-74.0059511769427,9073
77,CORTLANDT STREET              ,40.709806,-74.0099879,10364
78,JAY ST-METROTECH              ,40.6922283,-73.9872888,5305
81,BROADWAY & 31ST STREET        ,40.7619533,-73.9253765,27807
85,82ND STREET-JACKSON HEIGHTS   ,40.7670326,-73.8876976,35623
87,CHURCH AVENUE                 ,40.6494014,-73.9631665,35133
88,DEKALB AVENUE                 ,40.6899292,-73.9815403,34776
89,METROPOLITAN AVENUE           ,40.714072,-73.9543399,9058
90,145TH STREET                  ,40.703338,-73.8105779,44547
91,125TH STREET                  ,40.707399,-73.8269959,54944
92,BROADWAY-EAST NEW YORK        ,40.7692188,-73.9818193,18910
94,14TH STREET & 7TH AVENUE      ,40.7387664,-73.9997054,59802
95,WESTCHESTER SQUARE            ,40.8408333,-73.8430556,12275
102,PARSONS BLVD & HILLSIDE AV    ,40.7073827,-73.8037847,14169
103,169TH STREET & HILLSIDE AVE   ,40.710153,-73.7942642,20144
106,CANAL STREET                  ,40.724222,-74.0086439,22247
107,FORDHAM ROAD & JEROME AVE     ,40.8628529,-73.9010203,25365
109,QUEENSBORO PLAZA              ,40.750353,-73.9397081,22020
110,90TH STREET/ELMHURST AVENUE   ,40.7484278,-73.8767956,41436
111,FRANKLIN AVE/EASTERN PKWY     ,40.669779,-73.9582919,28058
112,KINGSTON AVE/EASTERN PKWY     ,40.672078,-73.9419449,14875
115,JAY ST-METROTECH              ,40.6922283,-73.9872888,89879
116,SUTPHIN BLVD-HILLSIDE AVE     ,40.7055897,-73.8100753,13400
118,KINGS HIGHWAY-MCDONALD AVE    ,40.6030821,-73.9723596,8505
119,23RD STREET-PARK AVE SOUTH    ,40.7401787,-73.9863823,79683
120,125TH STREET-LEXINGTON AVE    ,40.8043226,-73.9374094,57246
123,NEWKIRK AVE-NOSTRAND AVE      ,40.6399631,-73.9484143,17840
124,SHEEPSHEAD BAY ROAD           ,40.587072,-73.9527829,31018
126,WEST 4TH ST-WASHINGTON SQ     ,40.731059,-74.0014015,108849
137,NEWKIRK PLAZA                 ,40.634908,-73.9627491,22729
139,STILLWELL AVE-CONEY ISLAND    ,40.584809,-73.9830039,22230
146,UNION TURNPIKE-KEW GARDENS    ,40.7136948,-73.8300605,49822
149,KINGSBRIDGE RD-JEROME AVE     ,40.8676616,-73.8972239,20655
150,ELDER AVE-WESTCHESTER AVE     ,40.8285672,-73.8792849,15396
151,14TH STREET-6TH AVENUE        ,40.7373064,-73.9966817,62077
153,TOMPKINSVILLE                 ,40.6364926,-74.0854193,2437
154,79TH STREET-BROADWAY          ,40.7840729,-73.980242,39961
155,86TH STREET-BROADWAY          ,40.7883915,-73.9769395,45478
156,96TH STREET-BROADWAY          ,40.7945406,-73.9719092,84078
158,14TH STREET-UNION SQUARE      ,40.7345201,-73.9902886,266252
164,33RD STREET-PARK AVENUE       ,40.7463947,-73.9818293,81933
165,68TH STREET-HUNTER COLLEGE    ,40.7678673,-73.9640766,96721
173,DYCKMAN STREET-BROADWAY       ,40.8653722,-73.9277222,14946
174,86TH ST-CENTRAL PARK WEST     ,40.7855371,-73.9696427,22120
177,CHRISTOPHER ST-SHERIDAN SQ    ,40.7335943,-74.0027844,28893
181,157TH STREET-BROADWAY         ,40.8340265,-73.9448965,21726
183,161ST STREET-YANKEE STADIUM   ,40.8278854,-73.9259082,46157
