,0_x,STATION,0_y,1
0,1,104TH STREET,40.747820000000004,-73.86063890000001
1,212,111TH STREET,40.7600806,-73.8592493
2,108,125TH STREET-LEXINGTON AVE,40.8043226,-73.9374094
3,4,138TH ST-GRAND CONCOURSE,40.8132651,-73.92990390000001
4,1,138TH STREET-3RD AVE,40.81005,-73.92514200000001
5,1,145TH STREET,40.703338,-73.81057790000001
6,1,149TH STREET & 3RD AVENUE,40.7623486,-73.8160267
7,307,14TH STREET & 7TH AVENUE,40.738766399999996,-73.9997054
8,83,14TH STREET-6TH AVENUE,40.7373064,-73.99668170000001
9,630,14TH STREET-UNION SQUARE,40.7345201,-73.9902886
10,26,157TH STREET-BROADWAY,40.8340265,-73.9448965
11,2,161ST STREET-YANKEE STADIUM,40.8278854,-73.92590820000001
12,2,163RD ST & AMSTERDAM AVE,40.8369515,-73.940147
13,2,168TH STREET & BROADWAY,40.84161829999999,-73.93939509999998
14,1,169TH STREET & HILLSIDE AVE,40.710153000000005,-73.7942642
15,3,181ST STREET-ST NICHOLAS AV,40.8490975,-73.93374709999999
16,161,18TH STREET-7TH AVENUE,40.74103770000001,-73.9978619
17,1,21ST STREET-JACKSON AVENUE,40.7477659,-73.94075790000001
18,5,21ST STREET-QUEENSBRIDGE,40.7538909,-73.94227579999999
19,482,225TH STREET,40.662007,-73.7545959
20,1,231ST STREET,40.758873,-73.7527719
21,1,238TH STREET-BROADWAY,40.8850362,-73.9007288
22,177,23RD STREET-6TH AVENUE,40.7428886,-73.992802
23,280,23RD STREET-PARK AVE SOUTH,40.7401787,-73.9863823
24,301,28TH STREET-7TH AVENUE,40.7472153,-73.99336650000001
25,358,33RD STREET-PARK AVENUE,40.7463947,-73.9818293
26,568,34TH STREET - PENN STATION,40.7509993,-73.990625
27,2,3RD AVENUE-14TH STREET,40.665028,-73.98644990000001
28,7,40TH STREET-LOWERY STREET,40.743874600000005,-73.9244309
29,1,42ND STREET & 3RD AVENUE,40.642711,-73.9942729
30,411,42ND STREET & GRAND CENTRAL,40.7517736,-73.9769013
31,650,42ND STREET/TIMES SQUARE,40.755998999999996,-73.9863389
32,10,46TH ST-BLISS ST,40.7431326,-73.9182509
33,13,46TH STREET-BROADWAY,40.756685,-73.91404709999999
34,4,4TH AVENUE-9TH STREET,40.67035739999999,-73.9900272
35,148,57TH STREET & 7TH AVENUE,40.765509200000004,-73.9800305
36,187,57TH STREET-6TH AVENUE,40.764214100000004,-73.97727040000001
37,429,59TH STREET & LEXINGTON AVE,40.7627515,-73.9674728
38,211,59TH STREET/COLUMBUS CIRCLE,40.7679985,-73.98190799999999
39,4,65TH STREET-BROADWAY,40.749646899999995,-73.8984007
40,1,67TH AVENUE-QUEENS BLVD,40.726797,-73.8532478
41,563,68TH STREET-HUNTER COLLEGE,40.76786729999999,-73.9640766
42,180,72ND STREET & BROADWAY,40.779016399999996,-73.9818618
43,63,72ND STREET-CENTRAL PK WEST,40.7762665,-73.9763215
44,3,75TH AVENUE-QUEENS BLVD,40.7184711,-73.8373842
45,1,75TH STREET & ELDERTS LANE,40.691321,-73.8672547
46,90,79TH STREET-BROADWAY,40.7840729,-73.980242
47,1,7TH AVENUE-9TH STREET,40.6669775,-73.9816502
48,181,82ND STREET-JACKSON HEIGHTS,40.7670326,-73.8876976
49,277,86TH ST-CENTRAL PARK WEST,40.785537100000006,-73.96964270000001
50,100,86TH STREET-BROADWAY,40.788391499999996,-73.9769395
51,2,90TH STREET/ELMHURST AVENUE,40.7484278,-73.8767956
52,241,96TH STREET-BROADWAY,40.794540600000005,-73.97190920000001
53,18,AIRTRAIN @ HOWARD BEACH,40.662031,-73.8263643
54,1,ALABAMA AVENUE-FULTON ST,40.6768986,-73.89929079999999
55,2,AVENUE I-MCDONALD AVENUE,40.647694,-73.98036390000001
56,10,BARCLAYS CENTER,40.682612899999995,-73.9751106552432
57,1,BAY 50TH STREET-STILLWELL,40.5886755,-73.9837274
58,1,BAY RIDGE AVE-4TH AVENUE,40.6346594,-74.0234751
59,11,BERGEN STREET,40.6824707,-73.97956059999999
60,21,BOWLING GREEN & BROADWAY,40.70496825,-74.01365750602359
61,33,BROADWAY & 31ST STREET,40.7619533,-73.9253765
62,143,BROADWAY-EAST NEW YORK,40.7692188,-73.9818193
63,2,BROOKLYN BRIDGE,40.701042799999996,-73.9903533
64,41,CANAL STREET,40.724222,-74.0086439
65,96,CANAL STREET-BROADWAY,40.7195085,-74.00160670000001
66,24,CARROLL ST-PRESIDENT ST,40.6810586,-73.9944893
67,3,CENTRAL AVE-MYRTLE AVE,40.6978875,-73.9274247
68,92,CHAMBERS STREET,40.71552,-74.00923890000001
69,194,CHRISTOPHER ST-SHERIDAN SQ,40.7335943,-74.00278440000001
70,1,CHURCH AVENUE,40.649401399999995,-73.9631665
71,26,CITY HALL,40.7127391,-74.0059511769427
72,17,CLARK STREET-HENRY STREET,40.6974653,-73.99302220000001
73,32,CORTLANDT STREET,40.709806,-74.00998790000001
74,11,COURT SQ,40.746524900000004,-73.9430474
75,7,DEKALB AVENUE,40.6899292,-73.98154029999999
76,1,DYCKMAN STREET-BROADWAY,40.8653722,-73.9277222
77,1,EAST 149TH ST-SOUTHERN BLVD,40.8119971,-73.90419659999999
78,1,EASTERN PARKWAY,40.672951899999994,-73.9681929
79,2,ELMHURST AVE-BROADWAY,40.7421495,-73.88145829999999
80,279,FIFTH AVENUE,40.75801405,-73.9769563693561
81,2,FLUSHING AVE-BROADWAY,40.7002809,-73.9411682
